word	sent1	sent2	group	mean	annotator1	annotator2	annotator3	annotator4	annotator5
богадельня	Вольдемар и не ожидал его ответа: от имени обоих благодарил он пастора, обещал воспользоваться великодушными его предложениями только для того, чтобы посетить его и побывать в Мариенбурге на короткий срок; присовокупил, что странническая жизнь, может быть унизительная в глазах света, не менее того сделалась их потребностью, что оседлость, вероятно, покажется им ограничением их свободы, всегда для человека тягостным, и что поэтический, причудливый характер друга его, которому было тесно и душно в доме родительском, не потерпит на себе и легких цепей единообразной жизни <b><i>богадельни.</i></b>	Я прошусь в <b><i>богадельню.</i></b>	EARLIER	2.8	4	1	3	2	4
богадельня	Вся противомарксистская <b><i>богадельня</i></b> Он обернулся наконец к хозяину и по нахохленному виду его тотчас все понял.	"Я говорю: ""Иди ты, Иван Африканович, знаешь куда, что я тебе, <b><i>богадельня</i></b> какая Одну с бельмом нашел, другую хромую."	LATER	1.6	1	1	3	2	1
богадельня	Вы не поверите, матушка, что это у них в доме: в иной <b><i>богадельне</i></b> лучше содержат народ.	Манька-то начала в <b><i>богадельню</i></b> ходить, -- щей там дают ей и всего.	EARLIER	3.8	4	4	3	4	4
богадельня	Гувернеры, смотревшие за порядком и нравственностью гимназистов, были ветераны, которых давно следовало бы сдать в <b><i>богадельню.</i></b>	Эти балы устраивались либо в пользу детских русских приютов, либо в пользу <b><i>богадельни.</i></b>	LATER	3.8	3	4	4	4	4
богадельня	Долго крутились мы по узким улочкам, искали <b><i>богадельню,</i></b> наконец нашли.	Моя <b><i>богадельня</i></b> сделалась вольным домом.	COMPARE	2.8	2	1	3	4	4
богадельня	За хищников же должны почитаемы быть и те, которые будучи наняты за довольное награждение неверно и нерадиво работают и время проводят в праздности: также и оные хитрые нищии, которые будучи здравы и нескудны, притворяют себя больными и убогими, или некоторыя вымышляют нужды, аки бы разорились от пожара, или ограблены от разбойников, или просят милостины на имя других ложно, например на <b><i>богадельню,</i></b> на искупление пленников и прочая.	Выйдя из <b><i>богадельни</i></b> вдвоем с Матренушкой, Варвара Петровна сказала ей: -- Приучай ее помаленьку, учи, испытывай.	EARLIER	3.0	3	4	4	1	3
богадельня	"За церковью до моста с поворотом к <b><i>богадельне</i></b> раскинулась торговля овощами из мелких палаток и ""с телег""."	В беднейшие монастыри велено уделять доходы богатых монастырей, все лишнее из монастырских доходов отдавать на <b><i>богадельни</i></b> для призрения нищих.	COMPARE	3.8	3	4	4	4	4
богадельня	Знаешь, мама, если он умрет, его мать и тетку в <b><i>богадельню</i></b> возьмут, а жена и две дочки пойдут милостыню просить.	Долго, больше полутора часов разглагольствовал он в <b><i>богадельне.</i></b>	EARLIER	3.6	4	3	3	4	4
богадельня	"И если всем моим товарищам писателям раздадут такие знатные королевствы на воздухе, то, для содержания наших величеств, должно будет со временем выстроить пространную <b><i>богадельню"".</i></b>"	В сентябре месяце 1823 года постригли в монашество и произвели во игуменью мою родственницу и приятельницу, княгиню Авдотью Николаевну Мещерскую, построившую у себя в подмосковной, в Аносине, церковь и при ней сперва <b><i>богадельню,</i></b> а потом и общину.	EARLIER	2.6	4	3	1	3	2
богадельня	Каторжная Дербинская <b><i>богадельня</i></b> -- это отвратительные, страшные, жалкие, несчастные, так много страдавшие люди.	Иван Алексеевич нашелся и тут: -- Не думай любезный, -- сказал он ему: -- чтобы Митин и твой отказ от моего имения очень огорчили меня, я найду ему место -- отдам на <b><i>богадельню.</i></b>	EARLIER	3.4	4	1	4	4	4
богадельня	"Кой-кто из ""разных"" приходит на первый день Рождества и заночевывает: солдат Махоров, из дальней <b><i>богадельни,</i></b> на деревянной ноге, Пашенька-преблаженная и Полугариха."	В <b><i>богадельне</i></b> убиты содержавшиеся там 8 евреев.	LATER	3.2	3	4	3	2	4
богадельня	Колькой уж год она в <b><i>богадельню</i></b> просится, и все пользы не видать!	При громадной затрате на устройство канала польза от последнего будет все-таки ограниченная, он может понизить уровень воды при половодье только на какую-нибудь сажень, что, конечно, будет иметь некоторое значение, но все-таки не предохранит от наводнения более низкие участки города, с другой стороны, он не окажет почти никакого влияния, или очень малое, на понижение уровня воды в реке выше Андреевской <b><i>богадельни,</i></b> т. е. не защитит от затопления Лужников и Дорогомилова.	EARLIER	2.8	3	4	4	2	1
богадельня	Комнаты наполнялись суетливой прислугой с какими-то еще приглашенными женщинами из богаделен, все они с босыми ногами, с заткнутыми подолами, с ведрами, мойками, швабрами, мочалками неистово мыли, вытирали и выметали скопившуюся пыль и грязь, полировали мебель смесью деревянного масла со скипидаром; с высоких стремянок тщательно промывали люстры, канделябры, бра, вставляя свежие свечи.	А дьякон <b><i>богадельню</i></b> при церкви завел, мясника Лощенова подбил на доброе дело.	LATER	3.4	4	1	4	4	4
богадельня	Лазарет для усталых, <b><i>богадельня</i></b> для немощных.	О слепых, дряхлых и не могусчих работать или свое пропитание иметь хотя в указе его императорского величества 1722 иулиа 31 определено, что из поголовного оклада не выключать, но как в городех таковых определяют в <b><i>богадельни,</i></b> и оных в оклад класть не велено, потому, мнится, в уездах выключить надлежит.	EARLIER	3.6	4	2	4	4	4
богадельня	Мастерская -- не <b><i>богадельня</i></b> и... не кабак.	-- Стало быть, дядюшка, это <b><i>богадельня</i></b> -- Как хочешь, -- говорю, -- называй, только не тяготись дворней.	EARLIER	2.6	4	3	1	3	2
богадельня	Министры никогда и ни за чем не останавливаются, велели отдать малюток, впредь до распоряжения, на попечение стариков и старух, призираемых в <b><i>богадельне.</i></b>	-Петербургской крепости, директором Чесменской военной <b><i>богадельни,</i></b> членом Инвалидного комитета* и шефом Рязанского пехотного полка.	EARLIER	3.4	4	4	3	2	4
богадельня	На просьбы местного населения выстроить <b><i>богадельню</i></b> и для стариков она ответила, что выстроит только тогда, когда крестьяне составят приговоры о закрытии всех винных лавок в волости и закроют их.	В то время, когда царю подносится к подписи великое множество бумаг и приказов насчет каких-нибудь кадетских корпусов, формы погон и устройства богаделен, когда воскуриваются ему фимиамы, олигархи систематически, шаг за шагом, отбирают наиболее важные прерогативы короны: г. Победоносцев отмежевывает огромнейшую область царских прав в ведение синода; гр.	EARLIER	2.4	3	1	2	4	2
богадельня	Надо признать, что содержание призреваемых было хорошее, купцы старались не ударить лицом в грязь, ведь рядом была <b><i>богадельня</i></b> Елисеева.	Но, отдавая в ведомство духовенства эту немаловажную статью дохода, он, впрочем, назначил его на дела общеполезные: учреждение школ и богаделен при монастырях и т. п. , мысль о которой издавна занимала духовенство: некоторые из его представителей пытались даже поставлять в пример русским государям усердие к инквизиционным действиям испанских королей.	COMPARE	3.2	4	1	4	3	4
богадельня	Налево, вверх против течения реки, возвышаются на полугоре большое каменное здание и церковь -- это Андреевская <b><i>богадельня;</i></b> выше начинается сад или роща, примыкающая к Васильевскому -- великолепному загородному дому, который принадлежит теперь графу Мамонову.	Близко подошла вода к Титовскому переулку, к Андреевской <b><i>богадельне,</i></b> к дрожжевому заводу Афремова.	EARLIER	4.0	4	4	4	4	4
богадельня	Не <b><i>богадельня.</i></b>	Главный центр Минусинского округа был тогда маленький городок, называемый Минусинском, имевший с дюжину широких улиц, одну хорошенькую каменную церковь, зимой теплую, и при ней <b><i>богадельню,</i></b> где содержались старые и увечные, гостиный двор порядочной архитектуры с колоннами, присутственные места, две площади, словом, все нужное или необходимое для города.	COMPARE	3.6	3	4	4	4	3
богадельня	Неужели они не управятся с кучей голых негров Да я отошлю тогда Каррачиолу в <b><i>богадельню!</i></b>	2 000 руб. на булки и кутью По духовному завещанию А.Д. Ермакова оставлено две тысячи рублей на булки и кутью призреваемым при Ермаковской <b><i>богадельне.</i></b>	COMPARE	3.4	4	4	2	4	3
богадельня	Новое здание <b><i>богадельни</i></b> производит самое благоприятное впечатление.	После этих слов волнение еще более усилилось: порицателя Потеева били, мучили и наконец посадили в <b><i>богадельню</i></b> на цепь.	EARLIER	3.4	4	4	1	4	4
богадельня	"Обе по стольку-то лет отсидели в тюрьмах, а ныне кончали век в ""богадельне""."	"Года через три с очередным распаянным самоваром произошла неприятная история: мой отец, обычно сдержанный, повысив голос, начал упрекать няню Бушу, она расплакалась, начала говорить: ""Я вам в тягость"",-- и выхлопотала место в <b><i>богадельне.</i></b>"	LATER	3.0	4	2	2	3	4
богадельня	Он умел уговаривать московских богатых купцов жертвовать крупные суммы на <b><i>богадельни,</i></b> приюты, при нем были построены основные корпуса клиник -- на Девичьем поле и при Солдатенковской ( теперь Боткинской) больнице, был построен Политехнический музей, замощено много московских улиц, организована существующая и поныне нумерация домов.	"Доживающие () Для ""Родины и чужбины"" Это был не то пансион, не то <b><i>богадельня,</i></b> не то больница, но вместе и дом заключения, откуда его обитатели, если б и хотели, и имели какую-то возможность, не могли бы уйти, -- у них не было ни паспортов, ни иных видов на жительство, ни каких-либо связей -- не только на родине, покинутой ими много лет назад и проклявшей их, но и здесь, в этой славянской стране, где симпатии к русским были давней традицией."	LATER	3.4	4	3	3	3	4
богадельня	Она оправдывала нас всех, сдавших ее в <b><i>богадельню,</i></b> не сетовала, не жаловалась, лишь еще отчаянней плескалась в ее глазах мука невыплаканности, когда говорила она о своих новых знакомых в пансионате.	И когда проживала она вновь свою молодость, съежившись под казенным одеялом в <b><i>богадельне.</i></b>	LATER	3.4	4	4	1	4	4
богадельня	Они думали, что это легче, чем писать стихи А в законотворчестве видели <b><i>богадельню</i></b> глупости (Дизраэли).	Никольского немедленно перевели на грошевую пенсию, а поскольку от огорчения его хватил удар и он стал почти беспомощен, определили в местную <b><i>богадельню,</i></b> где он быстро истлел.	LATER	1.8	2	2	2	1	2
богадельня	Определено, по получении неблагоприятных для шведов известий, перебраться в крепость, туда же переправить членов <b><i>богадельни</i></b> и значительных граждан местечка.	Челядинцы, от большого до малого, были одеты исправно, накормлены сыто, получали, сверх того, в каждый годовой праздник по медной гривне и по калачу; их заслуги предкам Волынского ценились как должно; старики были в почтении у младших и нередко удостоивались подачек со стола господского; немощных не отсылали с хлеба долой на собственное пропитание, не призирали в <b><i>богадельнях,</i></b> а в их семействах.	EARLIER	3.8	4	3	4	4	4
богадельня	"Покоренный, приниженный Сенат из главенствующего в государстве учреждения обратился в какую-то судебную канцелярию и ""богадельню для вельмож""."	Он своим огромным умом обогатил себя и сумел найти разумное применение накопленным миллионам: приюты, больницы, <b><i>богадельни,</i></b> училища гражданские и военные вырастали в Сумах одно за другим.	LATER	2.4	2	2	1	3	4
богадельня	"Помнишь, когда я у нее в <b><i>богадельне</i></b> ""Полтаву"" читала А потом."	Хотел было для них на свой счет выстроить больницу, для старых больных приют и <b><i>богадельню,</i></b> но вот случилась со мной беда.	LATER	4.0	4	4	4	4	4
богадельня	"Попалась длинная мысль, уж явно не имевшая отношения к его судьбе: ""Вся деятельность людей мира состоит из скрывания неразумия жизни: с этой целью существуют и действуют: 1) полиция, 2) войска, 3) уголовные законы, тюрьмы, 4) филантропические учреждения: приюты для детей, <b><i>богадельни</i></b> для стариков, 5) воспитательные дома, 6) дома терпимости, 7) сумасшедшие дома, 8) больницы, в особенности сифилитические и чахоточные, 9) страховые общества, 10) все обязательные и устраиваемые на насильственно собираемые средства образовательные учреждения, 11) учреждения для малолетних преступников и многие прочие."""	А вскоре ее вместе с верной экономкой выселили из <b><i>богадельни,</i></b> обе они перебрались к брату экономки, священнику села Глинкова, что в четырех верстах к югу от Сергиева посада.	LATER	4.0	4	4	4	4	4
богадельня	После смерти старика Зайцева его дети и почитатели собрали деньги для возведения <b><i>богадельни</i></b> возле больницы на двадцать человек престарелых евреев -- на 10 мужчин и на 10 женщин.	А в <b><i>богадельне</i></b> и на пасеке ровно все вымерли.	COMPARE	3.4	3	4	4	3	3
богадельня	После того как Курбатов был переведен вице-губернатором в Архангельск, Петр продолжал получать известия о беспорядках нового управления, -- известия, что купечество в Москве и городах само себе повредило и повреждает: богатые на бедных налагают несносные поборы, больше, чем на себя, а иные себя и совершенно обходят; стремление избежать платежа податей продолжалось: жили в защите и закладе у разных людей будто бы за долги, а сами торговали, имели заводы; люди, имевшие достаточное состояние, помещались в <b><i>богадельнях,</i></b> выставляя бедность и болезни.	Противно сему, когда и хозяин стояльца изобидит или излишнего будет требовать, припишет какой припас, чего стоялец не брал, или иную какую обиду и неправду покажет, чинить им то же, велеть заплатить надлежащее, а ис того излишнее число, что не по достоинству требовал, вычесть на <b><i>богадельню.</i></b>	EARLIER	3.8	3	4	4	4	4
богадельня	При <b><i>богадельне</i></b> был большой сад и огороды с парниками.	-- В приюты и <b><i>богадельни</i></b> не завезли продукты.	LATER	4.0	4	4	4	4	4
богадельня	Рядом с госпиталем, при котором была <b><i>богадельня,</i></b> находился особый садик с лекарственными растениями.	И вот человек этот, жестокий, рабовладелец тысяч людей, устроив для искалеченных на его работе людей домики с двухаршинными садиками, и кассу, и <b><i>богадельню,</i></b> больницу, вполне уверен, что он этим с излишком заплатил за все те погубленные и губимые им физически и духовно человеческие жизни, спокойно, гордясь ею, продолжает свою деятельность.	COMPARE	4.0	4	4	4	4	4
богадельня	"Среди моих предков много служилых людей; есть усыпанные бриллиантовыми знаками участники славных войн; есть сибирский золотопромышленник и миллионщик (Василий Рукавишников, дед моей матери Елены Ивановны); есть ученый президент медико-хирургической академии (Николай Козлов, другой ее дед); есть герой Фридляндского, Бородинского, Лейпцигского и многих других сражений, генерал от инфантерии Иван Набоков (брат моего прадеда), он же директор Чесменской <b><i>богадельни</i></b> и комендант С. -Петербургской крепости -- той, в которой сидел супостат Достоевский (рапорты доброго Ивана Александровича царю напечатаны -- кажется, в ""Красном Архиве""); есть министр юстиции Дмитрий Николаевич Набоков (мой дед); и есть, наконец, известный общественный деятель Владимир Дмитриевич (мой отец)."	<b><i>Богадельня</i></b> занимала громадный участок земли с двухэтажными каменными постройками и церковью хорошей архитектуры.	LATER	4.0	4	4	4	4	4
богадельня	Так и ушел от меня куда-то в монастырскую <b><i>богадельню.</i></b>	Вести В Томске арендатор городских перевозов Миллюмонек на постройку и содержание <b><i>богадельни</i></b> пожертвовал городу 150 000 рублей. неизвестный.	COMPARE	4.0	4	4	4	4	4
богадельня	Так цугом и ходят, сказаны у себя в нетях, сами записаны на <b><i>богадельню,</i></b> а всюду у них понасажены малые люди.	Преображенская <b><i>богадельня</i></b> (перестроена) (Преображенская застава).	LATER	2.6	4	3	2	1	3
богадельня	Тетя Паша добилась наконец желанной койки в <b><i>богадельне;</i></b> простившись с племянниками, Она вышла с узелочком, но опустилась перевести дух на приступку крыльца и умерла.	-- Ступай вон, у меня не <b><i>богадельня!</i></b> -- слышался сухой, отрывистый голос хозяина.	COMPARE	3.4	3	4	3	4	3
богадельня	То есть в <b><i>богадельню,</i></b> -- сказала Зина.	Многое делалось и для поддержания наружного порядка на улицах: принимались меры против нищих и бродяг, устраивались <b><i>богадельни;</i></b> в пригородных местах делали просеки, чтобы помешать скрываться там ворам и грабителям.	COMPARE	4.0	4	4	4	4	4
богадельня	Только в <b><i>богадельнях,</i></b> в детских домах и в тюрьмах кормили такими супами.	Старый лакей Иван и старая слепая и глухая горничная Бобринских попали в <b><i>богадельню,</i></b> которая находилась на Базарной площади рядом с собором.	LATER	4.0	4	4	4	4	4
богадельня	У нас тут не госпиталь и не <b><i>богадельня.</i></b>	А я и не знала, быть может, он и был последний из масонов А может быть, кто-нибудь еще из моего поколения, кому восемьдесят девять или девяносто, доживает свой век в какой-нибудь <b><i>богадельне.</i></b>	LATER	4.0	4	4	4	4	4
богадельня	Уже позже, сопоставляя все сказанное, вспомнила старика, занимавшего соседнюю с Натальей Арсеньевной комнату в <b><i>богадельне.</i></b>	-- Как богодулы -- Богодулы из <b><i>богадельни.</i></b>	COMPARE	3.6	3	4	4	4	3
богадельня	Через полгода все было кончено: господский дом продали на снос; землю, которая обрабатывалась в пользу помещика, раскупили по клочкам крестьяне; инвентарь -- тоже; Фоку и Филанидушку поместили в <b><i>богадельни.</i></b>	Были годы, в которые все эти подкинутые дети в <b><i>богадельню</i></b> умирали поголовно, было время, когда оставался в живых один из ста младенцев.	EARLIER	3.8	4	4	4	4	3
богадельня	Это создавало в <b><i>богадельне</i></b> хорошую, спокойную атмосферу.	Здесь, при храме Нан-тан был госпиталь для китайцев, школы для детей, приют для сирот, <b><i>богадельня</i></b> для стариков.	COMPARE	3.8	4	4	4	3	4
богадельня	Я знал, что деньги эти она сберегла долголетним трудом, что копила она их, чтобы внести в <b><i>богадельню,</i></b> чтобы на старости, когда работать не будет уже сил, иметь свой угол, -- и все-таки взял их.	По 4-му же пункту о вольных людех, а по 16 о разночинцах и дворовых людех с отпускными повелено годных брать в службу, негодных писать, кто куда пожелает, а увечных, дряхлых и таких, которых никто взять не похочет, определять в <b><i>богадельни.</i></b>	COMPARE	4.0	4	4	4	4	4
богадельня	"Я не говорю уже о том (это частность), что В. П. Буренин, старый и опытный журналист, привык, конечно, излагать свои мысли более литературным языком: ""пристраивают"" бедных старух в <b><i>богадельню</i></b> да маменькиных сынков на теплые места, а не талантливых писателей в толстые журналы."	В <b><i>богадельню</i></b> поместила -- там и проживаем, да кажинную неделю к родным и знакомым отпрашиваюсь у начальства.	COMPARE	3.8	3	4	4	4	4
богадельня	Я отчетливо представила, как увозили ее отсюда в <b><i>богадельню.</i></b>	Недорого стоила и прислуга при <b><i>богадельне:</i></b> ей платилось от 12 до 15 рублей в год.	COMPARE	3.8	4	4	4	3	4
богадельня	Я стариков знала только одного -- сухорукого Осипа в тарусской <b><i>богадельне,</i></b> у которого рука отсохла -- потому что убил брата огурцом.	Спихнули в эту <b><i>богадельню.</i></b>	LATER	3.8	4	4	4	3	4
богадельня	Якутск оказался, действительно, городом: дома и церкви, <b><i>богадельня,</i></b> монастырь и кабаки -- целых девять кабаков! лавки и люди -- две с половиной тысячи жителей.	"""Если они наживались, значит, и мы можем нажиться"",-- рассуждали они, не понимая того, что бюджеты старых уставов были простою формальностью: в приюты и <b><i>богадельни</i></b> в старые годы неслась и везлась провизия из деревень старого Белокопытова, и этой провизии было столько, что призреваемые не могли ее истребить и начальницы просто торговали ею."	COMPARE	4.0	4	4	4	4	4
молодец	"""А ну, орелики, взяли!"", ""Молодцы, орелики!""."	Она, любовно смотря на него, понимала, что в такого молодца каждая может влюбиться.	COMPARE	1.6	1	1	1	4	1
молодец	-- <b><i>Молодец,</i></b> Рэсси! -- не выдержал Сергей.	<b><i>Молодец</i></b> анархист!	LATER	3.4	1	4	4	4	4
молодец	-- <b><i>Молодец,</i></b> что заступились.	Но как он сюда попал Как Катя ему ничего не сказала Неужели она в заговоре против него с этим молодцом Или сама ничего не знает Он решил продолжать свой легонький допросец.	EARLIER	1.0	1	1	1	1	1
молодец	-- <b><i>Молодец,</i></b> что поступил на железную дорогу.	Вот кто <b><i>молодец</i></b> -- так это я: что я ни начну делать, все выйдет хорошо, а у вас сноровки нет.	COMPARE	3.8	4	4	4	3	4
молодец	-- <b><i>Молодец,</i></b> что приехал.	Пара бежит, и <b><i>молодец</i></b> ловит подругу.	COMPARE	1.0	1	1	1	1	1
молодец	-- <b><i>Молодец-то</i></b> не таков, Степан Михайлыч, чтоб его легко провести, -- молвил Терентьич.	<b><i>Молодец,</i></b> барыня, нечего сказать, но ради Бога будь без меня осторожнее.	EARLIER	1.6	1	1	1	1	4
молодец	-- Ай, <b><i>молодец!</i></b> -- шипел из укрытия Пулькин.	-- Мать у нас <b><i>молодец.</i></b>	LATER	3.8	4	4	4	3	4
молодец	-- Батюшка боярин, -- сказал он, -- оно тово, может быть, этот <b><i>молодец</i></b> и правду говорит: неравно староста отпустит этих разбойников.	Запорожцы подняли головы, перекрестились, и один из них сказал: -- <b><i>Молодец!</i></b>	EARLIER	1.0	1	1	1	1	1
молодец	-- Да А по-моему, она <b><i>молодец.</i></b>	-- А! Козельцов, Козельцов! хорошо, что приехал, <b><i>молодец!..</i></b>	COMPARE	3.4	4	4	4	1	4
молодец	-- Еще что есть судить -- Будем еще мало, атаманы-молодцы!	"""Молодец! -- думал Курганов о Борине."	LATER	1.8	4	1	1	2	1
молодец	-- Здравствуй, <b><i>молодец,</i></b> здравствуй!	О, да каким молодцем соскочил с коня!..	COMPARE	3.6	4	3	3	4	4
молодец	-- Какая <b><i>молодец!</i></b>	Барышня -- <b><i>молодец,</i></b> заметила, что ты с нее влюбленных глаз не сводишь, а молчишь, как пень, дай, думаю, сама этого робкого воина поймаю.	COMPARE	4.0	4	4	4	4	4
молодец	-- Молодцы, артиллеристы! -- крикнул он, направляясь к ним.	Он привез себе на подмогу еще молодца из лавки -- с короткой бычьей шеей и тупым лбом.	COMPARE	1.0	1	1	1	1	1
